,hwd,pronSampa,ipa,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette
2569,discontinuance,d I s k @ n t I n j u @ n s,dɪskəntɪnjuəns,5,dĭſcŏntĭʹnūănce,F.,,,n.,39.0,71,discontinuance
2570,discontinue,d i s k @ n t I n j u,diskəntɪnju,4,dĭſcŏntĭʹnūe,F.,,,v.,40.0,71,discontinue
2571,discord,d I s k O: r\ d,dɪskOːɹd,2,dĭʹſcŏrd,L.,,,n.,41.0,71,discord
2572,discordant,d i s k O: r\ d @ n t,diskOːɹdənt,3,dĭſcŏʹrdănt,F.,,,a.,42.0,71,discordant
2573,discourage,d i s k 3:r i dZ,diskɜ:ri?,3,dĭſc_o_ŭʹrage,F.,,,v.,46.0,71,discourage
2574,discouragement,d i s k 3:r i dZ m @ n t,diskɜ:ri?mənt,4,dĭſc_o_ŭʹrag_e_ment,,,,n.,47.0,71,discouragement
2575,discourse,d I s k O: r\ s,dɪskOːɹs,2,dĭſco_u_ʹrſe,F.,,,n.,48.0,71,discourse
2576,discover,d i s k V v 3:r,diskʌvɜ:r,3,dĭſcŏʹver,F.,,,v.,43.0,71,discover
2577,discredit,d i s k r\ E 4 @ t,diskɹɛɾət,3,dĭſcrĕʹdit,,,,v.,50.0,71,discredit
2578,discreet,d i s k r\ i: t,diskɹiːt,2,dĭſcreeʹt,F.,,,a.,51.0,71,discreet
2579,discretion,d i s k r\ E S @ n,diskɹɛʃən,4,dĭſcrĕʹtion,F.,,,n.,52.0,71,discretion
2580,discriminate,d i s k r\ I m @ n eI t,diskɹɪmən?t,4,dĭſcrĭʹmĭnāte,L.,,,v.,53.0,71,discriminate
2581,discuss,d i s k V s,diskʌs,2,dĭſcŭʹſs,L.,,,v.,54.0,71,discuss
2582,discussion,d i s k V S @ n,diskʌʃən,4,dĭſcŭʹſſion,,,,n.,55.0,71,discussion
2583,disdain,d i s d eI n,disd?n,2,dĭſdaiʹn,F.,,,n.,56.0,71,disdain
2584,disdainful,d i s d eI n f @ l,disd?nfəl,3,dĭſdaiʹnful,,,,a.,57.0,71,disdainful
2585,disease,d i z i: z,diziːz,2,dĭſeaʹſe,F.,,,n.,59.0,71,disease
2586,diseased,d i z i: z d,diziːzd,3,dĭſeaʹſed,,,,a.,60.0,71,diseased
2587,disembark,d i s E m b A r\ k,disɛmbɑɹk,3,dĭsĕmbăʹrk,F.,,,v.,61.0,71,disembark
2588,disenfranchise,d i s i n f r\ { n tS aI z,disinfɹæn??z,4,dĭsĕnfrăʹnchīſe,,,,v.,66.0,71,disenfranchise
2589,disengage,d i s i n g eI dZ,dising??,3,dĭsĕngāʹge,F.,,,v.,64.0,71,disengage
2590,disengaged,d i s i n g eI dZ d,dising??d,4,dĭsĕngāʹged,,,,a.,65.0,71,disengaged
2591,disentangle,d I s @ n t { N g @ l,dɪsəntæŋgəl,4,dĭsĕntăʹngle,,,,v.,67.0,71,disentangle
2592,disfigure,d i s f I g j 3:r,disfɪgjɜ:r,3,dĭsfĭʹgŭre,F.,,,v.,70.0,71,disfigure
2593,disgorge,d i s g O: r\ dZ,disgOːɹ?,2,dĭſgŏʹrge,F.,,,v.,72.0,71,disgorge
2594,disgrace,d i s g r\ eI s,disgɹ?s,2,dĭſgrāʹce,F.,,,v.,73.0,71,disgrace
2595,disgraceful,d i s g r\ eI s f @ l,disgɹ?sfəl,3,dĭſgrāʹc_e_ful,,,,a.,2.0,72,disgraceful
2596,disguise,d i s g aI z,disg?z,2,dĭſg_u_īʹſe,F.,,,v.,3.0,72,disguise
2597,disgust,d i s g V s t,disgʌst,2,dĭſgŭʹſt,F.,,,n.,4.0,72,disgust
2598,dish,d I S,dɪʃ,1,dĭſh,,,,n.,5.0,72,dish
2599,dishonest,d i s A n @ s t,disɑnəst,3,dĭſhŏʹneſt,,,,a.,10.0,72,dishonest
2600,dishonesty,d i s A n @ s t i:,disɑnəstiː,4,dĭſhŏʹnĕſty,L.,,,n.,11.0,72,dishonesty
2601,disingenuous,d i s i n dZ E n j u @ s,disin?ɛnjuəs,5,dĭsĭngĕʹnū_o_us,L.,,,a.,16.0,72,disingenuous
2602,disinterested,d i s I n t r\ i s t i d,disɪntɹistid,5,dĭsʹĭntĕrĕſted,F.,,,a.,18.0,72,disinterested
2603,disjoint,d i s dZ OI n t,dis??nt,2,dĭsjoiʹnt,F.,,,v.,21.0,72,disjoint
2604,disjunction,d i s dZ V N k S @ n,dis?ʌŋkʃən,4,dĭsjŭʹnction,L.,,,n.,22.0,72,disjunction
2605,disk,d I s k,dɪsk,1,dĭſk,,,,n.,24.0,72,disk
2606,dislike,d i s l aI k,disl?k,2,dĭſlīʹke,,,,v.,25.0,72,dislike
2607,dislocate,d I s l @U k eI t,dɪsloʊk?t,3,dĭʹſlŏcāte,,,,v.,26.0,72,dislocate
2608,dislodge,d i s l A dZ,dislɑ?,2,dĭſlŏʹdge,F.,,,v.,27.0,72,dislodge
2609,disloyalty,d i s l OI @ l t i:,disl?əltiː,4,dĭſloʹyălty,F.,,,n.,28.0,72,disloyalty
2610,dismal,d I z m @ l,dɪzməl,2,dĭʹſmal,,,,a.,29.0,72,dismal
2611,dismantle,d i s m { n t @ l,dismæntəl,3,dĭʹſmăʹntle,F.,,,v.,30.0,72,dismantle
2612,dismay,d i s m eI,dism?,2,dĭſmaʹy,,,,v.,31.0,72,dismay
2613,dismember,d i s m E m b 3:r,dismɛmbɜ:r,3,dĭſmĕʹmb_e_r,F.,,,v.,32.0,72,dismember
2614,disobedience,d I s @ b i: 4 i: @ n s,dɪsəbiːɾiːəns,5,dĭsŏbēʹdĭĕnce,F.,,,n.,36.0,72,disobedience
2615,disobey,d I s @ b eI,dɪsəb?,3,dĭsŏbeʹy,F.,,,v.,37.0,72,disobey
2616,disorder,d i s O: r\ 4 3:r,disOːɹɾɜ:r,3,dĭsŏʹrd_e_r,F.,,,n.,39.0,72,disorder
2617,disown,d i s @U n,disoʊn,2,dĭſȯʹẇn,,,,v.,40.0,72,disown
2618,disparage,d i s p E r\ i dZ,dispɛɹi?,3,dĭſpăʹrage,F.,,,v.,41.0,72,disparage
2619,disparity,d i s p E r\ @ 4 i:,dispɛɹəɾiː,4,dĭſpāʹrĭty,F.,,,n.,43.0,72,disparity
2620,dispatch,d i s p { tS,dispæ?,2,dĭſpăʹtch,F.,,,n.,45.0,72,dispatch
2621,dispel,d i s p E l,dispɛl,2,dĭſpĕʹl,,,,v.,46.0,72,dispel
2622,dispensary,d i s p E n s 3:r i:,dispɛnsɜ:riː,4,dĭſpĕʹnsăry,F.,,,n.,47.0,72,dispensary
2623,dispensation,d I s p @ n s eI S @ n,dɪspəns?ʃən,5,dĭſpĕnsāʹtion,,,,n.,48.0,72,dispensation
2624,dispense,d i s p E n s,dispɛns,2,dĭſpĕʹnſe,L.,,,v.,49.0,72,dispense
2625,disperse,d i s p 3:r s,dispɜ:rs,2,dĭſpĕʹrſe,F.,,,v.,51.0,72,disperse
2626,dispersion,d i s p 3:r Z @ n,dispɜ:rʒən,4,dĭſpĕʹrſion,,,,n.,52.0,72,dispersion
2627,displace,d i s p l eI s,displ?s,2,dĭſplāʹce,F.,,,v.,54.0,72,displace
2628,display,d i s p l eI,displ?,2,dĭſplaʹy,F.,,,v.,56.0,72,display
2629,displease,d i s p l i: z,displiːz,2,dĭſpleaʹſe,F.,,,v.,57.0,72,displease
2630,displeasure,d i s p l E Z 3:r,displɛʒɜ:r,3,dĭſpleaʹſūre,,,,n.,58.0,72,displeasure
2631,disposal,d i s p @U z @ l,dispoʊzəl,3,dĭſpōʹſal,,,,n.,60.0,72,disposal
2632,dispose,d i s p @U z,dispoʊz,2,dĭſpōʹſe,F.,,,v.,61.0,72,dispose
2633,disposition,d I s p @ z I S @ n,dɪspəzɪʃən,5,dĭſpŏsĭʹtion,,,,n.,62.0,72,disposition
2634,dispossess,d I s p @ z E s,dɪspəzɛs,3,dĭſpŏſsĕʹſs,,,,v.,63.0,72,dispossess
2635,disproportion,d I s p r\ @ p O: r\ S @ n,dɪspɹəpOːɹʃən,5,dĭſprŏpŏʹrtion,F.,,,n.,65.0,72,disproportion
2636,disproportionate,d I s p r\ @ p O: r\ S @ n i t,dɪspɹəpOːɹʃənit,5,dĭſprŏpŏʹrtionāte,,,,a.,66.0,72,disproportionate
2637,disprove,d i s p r\ u v,dispɹuv,2,dĭſproʹve,,,,v.,67.0,72,disprove
2638,disputation,d i s p j u t eI S @ n,dispjut?ʃən,5,dĭſpūtāʹtion,L.,,,n.,70.0,72,disputation
2639,dispute,d i s p j u t,dispjut,2,dĭſpūʹte,L.,,,v.,71.0,72,dispute
2640,disqualify,d i s k w A l @ f aI,diskwɑləf?,4,dĭſquaʹlĭfy,,,,v.,72.0,72,disqualify
2641,disquiet,d i s k w aI @ t,diskw?ət,3,dĭſquīʹĕt,,,,v.,73.0,72,disquiet
2642,disregard,d I s r\ i g A r\ d,dɪsɹigɑɹd,3,dĭſrēgăʹrd,F.,,,v.,3.0,73,disregard
2643,disrepute,d I s r\ i p j u t,dɪsɹipjut,3,dĭſrepūʹte,L.,,,n.,5.0,73,disrepute
2644,disrespect,d I s r\ i s p E k t,dɪsɹispɛkt,3,dĭſreſpĕʹct,,,,n.,7.0,73,disrespect
2645,dissatisfaction,d I s { 4 i s f { k S @ n,dɪsæɾisfækʃən,6,dĭſsătĭsfăʹction,,,,n.,8.0,73,dissatisfaction
2646,dissatisfy,d i s { 4 @ s f aI,disæɾəsf?,4,dĭſsăʹtĭsfy,L.,,,v.,10.0,73,dissatisfy
2647,dissect,d aI s E k t,d?sɛkt,2,dĭſsĕʹct,L.,,,v.,11.0,73,dissect
2648,dissection,d aI s E k S @ n,d?sɛkʃən,4,dĭſsĕʹction,,,,n.,12.0,73,dissection
2649,dissemble,d i s E m b @ l,disɛmbəl,3,dĭſsĕʹmble,L.,,,v.,17.0,73,dissemble
2650,disseminate,d i s E m @ n eI t,disɛmən?t,4,dĭſsĕʹmĭnāte,L.,,,v.,19.0,73,disseminate
2651,dissent,d i s E n t,disɛnt,2,dĭſsĕʹnt,L.,,,v.,21.0,73,dissent
2652,dissenter,d i s E n t 3:r,disɛntɜ:r,3,dĭſsĕʹnt_e_r,,,,n.,22.0,73,dissenter
2653,dissertation,d I s 3:r t eI S @ n,dɪsɜ:rt?ʃən,5,dĭſsĕrtāʹtion,L.,,,n.,23.0,73,dissertation
2654,disservice,d i s s 3:r v @ s,dissɜ:rvəs,3,dĭſsĕʹrvĭce,,,,n.,24.0,73,disservice
2655,dissimilar,d i s s I m @ l 3:r,dissɪməlɜ:r,4,dĭſsĭʹmĭlar,F.,,,a.,26.0,73,dissimilar
2656,dissipate,d I s @ p eI t,dɪsəp?t,3,dĭʹſsĭpāte,,,,v.,29.0,73,dissipate
2657,dissipation,d I s i p eI S @ n,dɪsip?ʃən,5,dĭſsĭpāʹtion,F.,,Ne correspond à aucune {POS}. Comme indiqué dans le dictionnaire.,s.,30.0,73,dissipation
2658,dissolution,d I s @ l u S @ n,dɪsəluʃən,5,dĭſsŏlūʹtion,,,,n.,36.0,73,dissolution
2659,dissolve,d i z A l v,dizɑlv,2,dĭſsŏʹlve,L.,,,v.,32.0,73,dissolve
2660,dissonance,d I s @ n @ n s,dɪsənəns,3,dĭʹſsŏnănce,F.,,,n.,37.0,73,dissonance
2661,dissonant,d I s @ n @ n t,dɪsənənt,3,dĭʹſsŏnănt,,,,a.,38.0,73,dissonant
2662,dissuade,d i s w eI d,disw?d,2,dĭſſuāʹde,L.,,,v.,39.0,73,dissuade
2663,distance,d I s t @ n s,dɪstəns,2,dĭʹſtănce,L.,,,n.,43.0,73,distance
2664,distanced,d I s t @ n s t,dɪstənst,3,dĭʹſtănced,,,,a.,44.0,73,distanced
2665,distemper,d i s t E m p 3:r,distɛmpɜ:r,3,dĭſtĕʹmp_e_r,,,,n.,47.0,73,distemper
2666,distend,d i s t E n d,distɛnd,2,dĭſtĕʹnd,L.,,,v.,49.0,73,distend
2667,distil,d i s t I l,distɪl,2,dĭſtĭʹl,L.,,,v.,52.0,73,distil
2668,distillation,d I s t @ l eI S @ n,dɪstəl?ʃən,5,dĭſtĭllāʹtion,,,,n.,53.0,73,distillation
2669,distiller,d i s t I l 3:r,distɪlɜ:r,3,dĭſtĭʹller,,,,n.,54.0,73,distiller
2670,distinct,d i s t I N k t,distɪŋkt,2,dĭſtĭʹnct,,,,a.,55.0,73,distinct
2671,distinction,d i s t I N k S @ n,distɪŋkʃən,4,dĭſtĭʹnction,,,,n.,56.0,73,distinction
2672,distort,d i s t O: r\ t,distOːɹt,2,dĭſtŏʹrt,L.,,,v.,58.0,73,distort
2673,distortion,d i s t O: r\ S @ n,distOːɹʃən,4,dĭſtŏʹrtion,,,,n.,59.0,73,distortion
2674,distract,d i s t r\ { k t,distɹækt,2,dĭſtrăʹct,,,,v.,60.0,73,distract
2675,distraction,d i s t r\ { k S @ n,distɹækʃən,4,dĭſtrăʹction,,,,n.,61.0,73,distraction
2676,distribute,d i s t r\ I b j u t,distɹɪbjut,3,dĭſtrĭʹbūte,,,,v.,64.0,73,distribute
2677,distribution,d I s t r\ @ b j u S @ n,dɪstɹəbjuʃən,5,dĭſtrĭbūʹtion,L.,,,n.,65.0,73,distribution
2678,district,d I s t r\ i k t,dɪstɹikt,2,dĭſtrĭʹct,L.,,,n.,66.0,73,district
2679,distrust,d i s t r\ V s t,distɹʌst,2,dĭſtrŭʹſt,,,,n.,67.0,73,distrust
2680,distrustful,d i s t r\ V s t f @ l,distɹʌstfəl,3,dĭſtrŭʹſtful,,,,a.,68.0,73,distrustful
2681,disturb,d i s t 3:r b,distɜ:rb,2,dĭſtŭʹrb,,,,v.,69.0,73,disturb
2682,disturbance,d i s t 3:r b @ n s,distɜ:rbəns,3,dĭſtŭʹrbance,,,,n.,70.0,73,disturbance
2683,disunion,d i s j u n j @ n,disjunjən,4,dĭsūʹnion,L.,,,n.,73.0,73,disunion
2684,disuse,d i s j u s,disjus,2,dĭsūʹſe,L.,,,v.,3.0,74,disuse
2685,ditch,d I tS,dɪ?,1,dĭtch,,,,n.,5.0,74,ditch
2686,ditto,d I 4 @U,dɪɾoʊ,2,dĭʹtto,,,,a.,9.0,74,ditto
2687,ditty,d I 4 i:,dɪɾiː,2,dĭʹtty,L.,,,n.,10.0,74,ditty
2688,diuretic,d aI u r\ E 4 i k,d?uɹɛɾik,4,dīūrĕʹtic,,,,a.,38.0,74,diuretic
2689,diurnal,d aI 3:r n @ l,d?ɜ:rnəl,3,dīŭʹrnal,L.,,,a.,39.0,74,diurnal
2690,divan,d i v { n,divæn,2,dīʹvan,,,,n.,11.0,74,divan
2691,dive,d aI v,d?v,1,dīve,,,,v.,13.0,74,dive
2692,diver,d aI v 3:r,d?vɜ:r,2,dīʹver,,,,n.,14.0,74,diver
2693,divergent,d aI v 3:r dZ @ n t,d?vɜ:r?ənt,3,dĭvĕʹrgent,L.,,,a.,15.0,74,divergent
2694,divers,d aI v 3:r z,d?vɜ:rz,2,dīʹvers,L.,,,a.,16.0,74,divers
2695,diverse,d aI v 3:r s,d?vɜ:rs,2,dĭvĕʹrſe,L.,,,a.,17.0,74,diverse
2696,diversify,d aI v 3:r s @ f aI,d?vɜ:rsəf?,4,dĭvĕʹrsĭfy,F.,,,v.,18.0,74,diversify
2697,diversion,d aI v 3:r Z @ n,d?vɜ:rʒən,4,dĭvĕʹrſion,F.,,,n.,19.0,74,diversion
2698,diversity,d i v 3:r s @ 4 i:,divɜ:rsəɾiː,4,dĭvĕʹrsĭty,,,,n.,20.0,74,diversity
2699,divert,d aI v 3:r t,d?vɜ:rt,2,dĭvĕʹrt,L.,,,v.,21.0,74,divert
2700,diverting,d aI v 3:r 4 i N,d?vɜ:rɾiŋ,3,dĭvĕʹrting,,,,a.,22.0,74,diverting
2701,divest,d aI v E s t,d?vɛst,2,dĭveʹſt,,,,v.,24.0,74,divest
2702,divide,d i v aI d,div?d,2,dĭvīʹdĕ,L.,,,v.,25.0,74,divide
2703,dividend,d I v i d E n d,dɪvidɛnd,3,dĭʹvĭdend,,,,n.,26.0,74,dividend
2704,divination,d I v @ n eI S @ n,dɪvən?ʃən,5,dĭvĭnāʹtion,F.,,,n.,28.0,74,divination
2705,divine,d i v aI n,div?n,2,dĭvīʹne,L.,,,v.,29.0,74,divine
2706,divinity,d i v I n @ 4 i:,divɪnəɾiː,4,dĭvĭʹnĭty,F.,,,n.,31.0,74,divinity
2707,divisibility,d i v I z @ b I l @ 4 i:,divɪzəbɪləɾiː,6,dĭvĭsĭbĭʹlĭty,,,,n.,32.0,74,divisibility
2708,divisible,d i v I z @ b @ l,divɪzəbəl,4,dĭvĭʹsĭble,,,,a.,33.0,74,divisible
2709,division,d i v I Z @ n,divɪʒən,4,dĭvĭʹſion,L.,,,n.,34.0,74,division
2710,divisor,d i v aI z 3:r,div?zɜ:r,3,dĭvīʹſor,L.,,,n.,35.0,74,divisor
2711,divorce,d i v O: r\ s,divOːɹs,2,dĭvŏʹrce,L.,,,n.,36.0,74,divorce
2712,divulge,d i v V l dZ,divʌl?,2,dĭvŭʹlge,L.,,,v.,42.0,74,divulge
2713,dizzy,d I z i:,dɪziː,2,dĭzzy,,nbSyll>1 et pas d'accent tonic,,a.,43.0,74,dizzy
2714,docile,d A s @ l,dɑsəl,2,doʹcĭle,L.,,,a.,44.0,74,docile
2715,docility,d A s I l @ 4 i:,dɑsɪləɾiː,4,docĭʹlĭty,,,,n.,45.0,74,docility
2716,dock,d A k,dɑk,1,dŏck,,,,n.,46.0,74,dock
2717,docket,d A k @ t,dɑkət,2,dŏʹcket,,,,n.,47.0,74,docket
2718,doctor,d A k t 3:r,dɑktɜ:r,2,dŏʹct_o_r,L.,,,n.,48.0,74,doctor
2719,doctrinal,d A k t r\ @ n @ l,dɑktɹənəl,3,dŏʹctrĭnal,L.,,,a.,49.0,74,doctrinal
2720,doctrine,d A k t r\ @ n,dɑktɹən,2,dŏʹctrĭne,L.,,,n.,50.0,74,doctrine
2721,document,d A k j @ m E n t,dɑkjəmɛnt,3,dŏʹcūment,L.,,,n.,51.0,74,document
2722,dodge,d A dZ,dɑ?,1,dŏdge,,,,v.,54.0,74,dodge
2723,dodo,d @U 4 @U,doʊɾoʊ,2,dōʹdo,,,,n.,55.0,74,dodo
2724,doe,d @U,doʊ,1,dōe,,,,n.,56.0,74,doe
2725,dog,d O: g,dOːg,1,dŏg,,,,n.,57.0,74,dog
2726,doge,d @U dZ,doʊ?,1,dōge,,,,n.,58.0,74,doge
2727,dogged,d O: g d,dOːgd,2,dŏʹgged,,,,a.,59.0,74,dogged
2728,dogma,d A g m @,dɑgmə,2,dŏʹgmā,G.,,,n.,63.0,74,dogma
2729,dolce,d @U l tS eI,doʊl??,2,dŏʹlcè,,,,a.,67.0,74,dolce
2730,dole,d @U l,doʊl,1,dōle,L.,,,n.,68.0,74,dole
2731,doleful,d @U l f @ l,doʊlfəl,2,doʹl_e_ful,L.,,,a.,70.0,74,doleful
2732,dollar,d A l 3:r,dɑlɜ:r,2,dŏʹllar,,,,n.,72.0,74,dollar
2733,dolphin,d A l f @ n,dɑlfən,2,dŏʹlphin,G.,,,n.,2.0,75,dolphin
2734,dolphins,d A l f @ n z,dɑlfənz,2,dŏʹlphins,,,,n.,3.0,75,dolphins
2735,domain,d @U m eI n,doʊm?n,2,domaiʹn,,,,n.,5.0,75,domain
2736,dome,d @U m,doʊm,1,dōme,G.,,,n.,6.0,75,dome
2737,domestic,d @ m E s t i k,dəmɛstik,3,domĕʹſtic,L.,,,n.,7.0,75,domestic
2738,domination,d A m @ n eI S @ n,dɑmən?ʃən,5,dŏmĭnāʹtion.,,,,n.,9.0,75,domination
2739,domineer,d A m @ n I r\,dɑmənɪɹ,3,dŏmĭneeʹr,F.,,,v.,10.0,75,domineer
2740,dominicans,d @U m I n i k @ n z,doʊmɪnikənz,4,dŏmĭʹnĭcans,,,,n.,12.0,75,dominicans
2741,dominion,d @ m I n j @ n,dəmɪnjən,3,dŏmĭʹnĭon,,,,n.,13.0,75,dominion
2742,domino,d A m @ n @U,dɑmənoʊ,3,dŏʹmĭno,L.,,,n.,14.0,75,domino
2743,don,d A n,dɑn,1,don,,,,n.,15.0,75,don
2744,donation,d @U n eI S @ n,doʊn?ʃən,4,dŏnāʹtion,F.,,,n.,16.0,75,donation
2745,donor,d @U n 3:r,doʊnɜ:r,2,dōnor,L.,nbSyll>1 et pas d'accent tonic,,n.,19.0,75,donor
2746,doom,d u m,dum,1,doom,,,,n.,20.0,75,doom
2747,door,d O: r\,dOːɹ,1,door,L.,,,n.,21.0,75,door
2748,doric,d O: r\ i k,dOːɹik,2,doʹric,,,,n.,24.0,75,doric
2749,dorman,d O: r\ m @ n,dOːɹmən,2,dŏʹrman,,,,n.,25.0,75,dorman
2750,dormant,d O: r\ m @ n t,dOːɹmənt,2,dŏʹrmănt,F.,,,a.,26.0,75,dormant
2751,dormitory,d O: r\ m @ t O: r\ i:,dOːɹmətOːɹiː,4,dŏʹrmĭtory,L.,,,n.,27.0,75,dormitory
2752,dose,d @U s,doʊs,1,dŏſe,G.,,,n.,31.0,75,dose
2753,dot,d A t,dɑt,1,dŏt,,,,n.,34.0,75,dot
2754,double,d V b @ l,dʌbəl,2,d_o_ŭʹble,F.,,,v.,40.0,75,double
2755,dough,d @U,doʊ,1,do_ugh_,,,,n.,52.0,75,dough
2756,doughty,d O: 4 i:,dOːɾiː,2,do_u_ʹ_gh_ty,,,,a.,53.0,75,doughty
2757,dove,d V v,dʌv,1,dŏve,,,,n.,50.0,75,dove
2758,dovetail,d V v t eI l,dʌvt?l,2,dŏʹv_e_tail,,,,n.,51.0,75,dovetail
2759,dowager,d aU @ dZ 3:r,d?ə?ɜ:r,3,dȯʹẇăger,F.,,,n.,54.0,75,dowager
2760,dowdy,d aU 4 i:,d?ɾiː,2,dȯʹẇdy,,,,n.,55.0,75,dowdy
2761,dower,d aU r\,d?ɹ,2,dȯʹẇer,,,,n.,56.0,75,dower
2762,down,d aU n,d?n,1,dȯẇn,,,,n.,58.0,75,down
2763,downs,d aU n z,d?nz,1,dȯẇns,,,,n.,60.0,75,downs
2764,downward,d aU n w 3:r d,d?nwɜ:rd,2,dȯʹẇnward,,,,a.,61.0,75,downward
2765,downy,d aU n i:,d?niː,2,dȯʹẇny,,,,a.,62.0,75,downy
2766,dowry,d aU r\ i:,d?ɹiː,2,dȯʹẇry,,,,n.,59.0,75,dowry
2767,dowse,d aU s,d?s,1,dȯẇſe,L.,,,n.,63.0,75,dowse
2768,doxology,d A k s A l @ dZ i:,dɑksɑlə?iː,4,dŏxŏʹlŏgy,G.,,,n.,64.0,75,doxology
2769,doxy,d A k s i:,dɑksiː,2,dŏʹxy,,,,n.,65.0,75,doxy
2770,doze,d @U z,doʊz,1,dōze,,,,n.,66.0,75,doze
2771,dozen,d V z @ n,dʌzən,2,dŏʹzen,F.,,,n.,67.0,75,dozen
2772,drab,d r\ { b,dɹæb,1,drăb,,,,n.,68.0,75,drab
2773,drachma,d r\ { k m @,dɹækmə,2,drăʹc_h_mā,G.,,,n.,70.0,75,drachma
2774,drag,d r\ { g,dɹæg,1,drăg,,,,n.,73.0,75,drag
2775,dragon,d r\ { g @ n,dɹægən,2,drāʹgon,F.,,,n.,5.0,76,dragon
2776,drain,d r\ eI n,dɹ?n,1,drain,,,,n.,7.0,76,drain
2777,drake,d r\ eI k,dɹ?k,1,drāke,L.,,,n.,8.0,76,drake
2778,dram,d r\ { m,dɹæm,1,drăm,G.,,,n.,9.0,76,dram
2779,drama,d r\ A m @,dɹɑmə,2,drăʹmā,G.,,,n.,10.0,76,drama
2780,dramatic,d r\ @ m { 4 i k,dɹəmæɾik,3,drămăʹtic,G.,,,a.,11.0,76,dramatic
2781,draper,d r\ eI p 3:r,dɹ?pɜ:r,2,drāʹp_e_r,F.,,,n.,13.0,76,draper
2782,drapery,d r\ eI p 3:r i:,dɹ?pɜ:riː,3,drāʹpery,F.,,,n.,14.0,76,drapery
2783,draught,d r\ { f t,dɹæft,1,drau_gh_t,,,,n.,15.0,76,draught
2784,draughts,d r\ { f t s,dɹæfts,1,drau_gh_ts,,,,n.,16.0,76,draughts
2785,draw,d r\ O:,dɹOː,1,draw,,,,v.,18.0,76,draw
2786,drawer,d r\ O: r\,dɹOːɹ,2,draʹwer,,,,n.,19.0,76,drawer
2787,drawing,d r\ O: i N,dɹOːiŋ,2,draʹwing,,,,n.,20.0,76,drawing
2788,dray,d r\ eI,dɹ?,1,dray,,,,n.,22.0,76,dray
2789,dread,d r\ E d,dɹɛd,1,dread,,,,a.,23.0,76,dread
2790,dreadful,d r\ E d f @ l,dɹɛdfəl,2,dreaʹdful,,,,a.,24.0,76,dreadful
2791,dream,d r\ i: m,dɹiːm,1,dream,L.,,,n.,25.0,76,dream
2792,dreary,d r\ I r\ i:,dɹɪɹiː,2,dreʹary,,,,a.,26.0,76,dreary
2793,dredge,d r\ E dZ,dɹɛ?,1,drĕdge,,,,v.,27.0,76,dredge
2794,dregs,d r\ E g z,dɹɛgz,2,drĕgs,,nbSyll>1 et pas d'accent tonic,,n.,30.0,76,dregs
2795,drench,d r\ E n tS,dɹɛn?,1,drĕnch,,,,n.,31.0,76,drench
2796,dress,d r\ E s,dɹɛs,1,drĕſs,F.,,,v.,32.0,76,dress
2797,dresser,d r\ E s 3:r,dɹɛsɜ:r,2,drĕʹſſer,,,,n.,33.0,76,dresser
2798,dribble,d r\ I b @ l,dɹɪbəl,2,drĭʹbble,,,,n.,34.0,76,dribble
2799,drill,d r\ I l,dɹɪl,1,drĭll,,,,n.,36.0,76,drill
2800,drink,d r\ I N k,dɹɪŋk,1,drĭnk,,,,n.,37.0,76,drink
2801,drip,d r\ I p,dɹɪp,1,drĭp,,,,v.,38.0,76,drip
2802,dripping,d r\ I p i N,dɹɪpiŋ,2,drĭʹpping,,,,n.,39.0,76,dripping
2803,drive,d r\ aI v,dɹ?v,1,drīve,,,,v.,40.0,76,drive
2804,driver,d r\ aI v 3:r,dɹ?vɜ:r,2,drīʹver,,,,n.,42.0,76,driver
2805,drizzle,d r\ I z @ l,dɹɪzəl,2,drĭʹzzle,,,,v.,43.0,76,drizzle
2806,droll,d r\ @U l,dɹoʊl,1,droll,,,,n.,44.0,76,droll
2807,dromedary,d r\ A m @ d E r\ i:,dɹɑmədɛɹiː,4,drŏʹmĕdāry,L.,,,n.,45.0,76,dromedary
2808,drone,d r\ @U n,dɹoʊn,1,drone,,,,n.,46.0,76,drone
2809,droop,d r\ u p,dɹup,1,droop,,,,v.,47.0,76,droop
2810,drop,d r\ A p,dɹɑp,1,drop,L.,,,n.,48.0,76,drop
2811,dropsy,d r\ A p s i:,dɹɑpsiː,2,drŏʹpſy,G.,,,n.,49.0,76,dropsy
2812,dross,d r\ O: s,dɹOːs,1,drŏſs,,,,n.,50.0,76,dross
2813,drought,d r\ aU t,dɹ?t,1,drō_ugh_t,,,,n.,54.0,76,drought
2814,drove,d r\ @U v,dɹoʊv,1,drove,,,,n.,52.0,76,drove
2815,drover,d r\ @U v 3:r,dɹoʊvɜ:r,2,drōʹver,,,,n.,53.0,76,drover
2816,drown,d r\ aU n,dɹ?n,1,drówn,,,,v.,56.0,76,drown
2817,drowsy,d r\ aU z i:,dɹ?ziː,2,drȯẇſy,,nbSyll>1 et pas d'accent tonic,,a.,57.0,76,drowsy
2818,drub,d r\ V b,dɹʌb,1,drŭb,,,,v.,58.0,76,drub
2819,drudge,d r\ V dZ,dɹʌ?,1,drŭdge,,,,v.,59.0,76,drudge
2820,drudgery,d r\ V dZ 3:r i:,dɹʌ?ɜ:riː,3,drŭʹdg_e_ry,,,,n.,60.0,76,drudgery
